,代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
0,sz159998,计算机ETF,0.625,0.026,4.341,0.625,0.626,0.599,0.573,0.629,0.573,72543000,43945089
1,sz159997,电子ETF,0.746,0.045,6.419,0.746,0.747,0.701,0.697,0.748,0.691,42039900,30414404
2,sz159996,家电ETF,1.007,0.026,2.65,1.007,1.008,0.981,0.969,1.018,0.969,154872400,154651504
3,sz159995,芯片ETF,0.755,0.046,6.488,0.755,0.756,0.709,0.702,0.755,0.699,758547167,554506811
4,sz159994,5GETF,0.628,0.043,7.35,0.628,0.629,0.585,0.585,0.631,0.577,52443604,32107760
5,sz159993,证券ETF龙头,0.918,0.044,5.034,0.918,0.919,0.874,0.865,0.922,0.861,78333700,70148073
6,sz159992,创新药ETF,0.671,0.061,10.0,0.671,0.0,0.61,0.604,0.671,0.601,519433024,334057375
7,sz159991,创大盘ETF,0.35,0.017,5.105,0.349,0.35,0.333,0.324,0.356,0.319,54474900,18373034
8,sz159990,小盘价值ETF,1.119,0.059,5.566,1.119,1.123,1.06,1.05,1.126,1.047,5352920,5816583
9,sz159987,科技创新ETF,1.077,0.065,6.423,1.077,1.078,1.012,1.007,1.077,1.007,1048100,1078091
10,sz159985,豆粕ETF,1.97,0.005,0.254,1.969,1.97,1.965,1.975,1.975,1.964,27792300,54719065
11,sz159982,中证500ETF鹏华,1.194,0.097,8.842,1.194,1.195,1.097,1.097,1.194,1.08,13181000,14911077
12,sz159981,能源化工ETF,1.625,0.006,0.371,1.625,1.626,1.619,1.612,1.632,1.609,8863500,14370773
13,sz159980,有色ETF,1.509,-0.003,-0.198,1.508,1.509,1.512,1.511,1.511,1.501,27812000,41884432
14,sz159977,创业板ETF天弘,1.706,0.103,6.425,1.706,1.707,1.603,1.575,1.706,1.571,88639448,146897659
15,sz159976,湾创ETF,0.839,0.017,2.068,0.842,0.845,0.822,0.815,0.843,0.815,2227700,1853814
16,sz159975,深100ETF招商,0.46,0.018,4.072,0.458,0.46,0.442,0.444,0.46,0.444,20884800,9421572
17,sz159974,央企创新ETF,1.339,0.043,3.318,1.336,1.339,1.296,1.297,1.342,1.284,11348400,14905034
18,sz159973,民企ETF,1.026,0.048,4.908,1.026,1.029,0.978,0.968,1.026,0.968,6749600,6782640
19,sz159972,5年地债ETF,113.024,-0.016,-0.014,113.022,113.024,113.04,112.988,113.096,112.951,680700,76919850
20,sz159971,创业板ETF富国,1.136,0.06,5.576,1.135,1.136,1.076,1.067,1.136,1.06,4667600,5158171
21,sz159970,深100ETF工银,3.849,0.127,3.412,3.85,3.887,3.722,3.685,3.864,3.685,593600,2266311
22,sz159969,深100ETF银华,0.97,0.032,3.412,0.95,1.002,0.938,0.927,0.972,0.927,1814700,1736439
23,sz159968,中证500ETF博时,5.754,0.42,7.874,5.753,5.77,5.334,5.333,5.867,5.281,3175449,17457051
24,sz159967,创业板成长ETF,0.368,0.024,6.977,0.367,0.368,0.344,0.34,0.368,0.338,488891727,174629817
25,sz159966,创业板价值ETF,0.395,0.022,5.898,0.394,0.395,0.373,0.374,0.395,0.371,30740722,11726245
26,sz159965,央视50ETF,1.237,0.032,2.656,1.235,1.237,1.205,1.197,1.237,1.191,734300,897551
27,sz159964,创业板ETF平安,1.054,0.062,6.25,1.052,1.054,0.992,0.995,1.055,0.972,9688102,9919846
28,sz159961,深100ETF方正富邦,1.351,0.061,4.729,1.35,1.355,1.29,1.302,1.351,1.296,7633900,10111779
29,sz159960,恒生中国企业ETF,0.603,0.021,3.608,0.602,0.603,0.582,0.582,0.603,0.582,5925800,3531044
30,sz159959,央企ETF,1.233,0.038,3.18,1.232,1.233,1.195,1.187,1.233,1.175,18549500,22519870
31,sz159958,创业板ETF工银,0.976,0.06,6.55,0.976,0.977,0.916,0.92,0.977,0.908,8722500,8297840
32,sz159957,创业板100ETF华夏,1.07,0.06,5.941,1.07,1.071,1.01,0.999,1.071,0.99,8001600,8294265
33,sz159956,创业板ETF建信,1.051,0.087,9.025,1.051,1.06,0.964,0.966,1.063,0.957,4562700,4627779
34,sz159954,H股ETF,0.583,0.024,4.293,0.583,0.585,0.559,0.559,0.583,0.559,14266000,8191571
35,sz159952,创业板ETF广发,0.988,0.059,6.351,0.988,0.989,0.929,0.915,0.988,0.913,236406500,226950992
36,sz159949,创业板50ETF,0.7,0.039,5.9,0.7,0.701,0.661,0.654,0.701,0.651,2330097682,1593116202
37,sz159948,创业板ETF南方,1.79,0.097,5.729,1.788,1.79,1.693,1.69,1.792,1.67,13860800,24183758
