date,open,high,low,close,volume,p_change,forecast
2013-07-30,2.632,2.648,2.632,2.646,92993112,0.007616146230007725,1.0
2013-07-31,2.643,2.659,2.64,2.657,69976160,0.00415721844293282,0.0
2013-08-01,2.653,2.656,2.635,2.643,30006438,-0.005269100489273759,0.0
2013-08-02,2.63,2.632,2.558,2.578,33021892,-0.02459326522890648,1.0
2013-08-05,2.621,2.642,2.621,2.63,24012032,0.020170674941815347,0.0
2013-08-06,2.62,2.62,2.586,2.591,22336052,-0.01482889733840298,0.0
2013-08-07,2.562,2.582,2.56,2.574,19501856,-0.006561173292165323,1.0
2013-08-08,2.588,2.597,2.583,2.586,12626896,0.004662004662004726,1.0
2013-08-09,2.625,2.63,2.611,2.616,13213795,0.011600928074245953,1.0
2013-08-12,2.656,2.66,2.649,2.659,19916360,0.016437308868501477,1.0
2013-08-13,2.662,2.68,2.658,2.675,14718160,0.0060172997367431424,0.0
2013-08-14,2.64,2.652,2.637,2.64,11130351,-0.013084112149532645,1.0
2013-08-15,2.68,2.689,2.674,2.68,17191988,0.015151515151515138,1.0
2013-08-16,2.73,2.743,2.71,2.712,18664880,0.011940298507462588,1.0
2013-08-19,2.74,2.752,2.733,2.737,14228539,0.009218289085545672,0.0
2013-08-20,2.725,2.729,2.699,2.705,8921362,-0.011691633175009097,1.0
2013-08-21,2.72,2.734,2.718,2.724,6369008,0.007024029574861368,0.0
2013-08-22,2.717,2.721,2.71,2.714,4756443,-0.0036710719530104186,1.0
2013-08-23,2.731,2.737,2.724,2.733,9361162,0.007000736919675843,1.0
2013-08-26,2.77,2.781,2.765,2.772,8727286,0.014270032930845167,1.0
2013-08-27,2.772,2.782,2.771,2.779,6336802,0.002525252525252597,1.0
2013-08-28,2.81,2.837,2.8,2.827,14239869,0.017272400143936606,0.0
2013-08-29,2.808,2.808,2.784,2.796,7396574,-0.010965688008489627,0.0
2013-08-30,2.781,2.798,2.781,2.787,8631178,-0.0032188841201716833,0.0
2013-09-02,2.77,2.775,2.761,2.767,6896895,-0.0071761750986724104,0.0
2013-09-03,2.77,2.77,2.76,2.762,3896815,-0.0018070112034693775,1.0
2013-09-04,2.791,2.802,2.784,2.787,9480610,0.009051412020275151,0.0
2013-09-05,2.765,2.767,2.745,2.751,5750474,-0.012917115177610294,0.0
2013-09-06,2.73,2.73,2.719,2.725,6594294,-0.009451108687749787,1.0
2013-09-09,2.751,2.761,2.751,2.756,4079357,0.011376146788990793,0.0
2013-09-10,2.756,2.756,2.737,2.742,9294001,-0.005079825834542695,0.0
2013-09-11,2.712,2.722,2.7,2.722,5937809,-0.00729394602479938,0.0
2013-09-12,2.714,2.714,2.676,2.682,4885575,-0.014695077149155078,0.0
2013-09-13,2.655,2.655,2.608,2.622,9302931,-0.022371364653243853,1.0
2013-09-16,2.636,2.647,2.631,2.631,4727727,0.003432494279176135,0.0
2013-09-17,2.615,2.616,2.604,2.609,4041727,-0.008361839604712928,0.0
2013-09-18,2.585,2.59,2.568,2.589,9692651,-0.007665772326561959,1.0
2013-09-23,2.618,2.636,2.609,2.629,7860273,0.015449980687524123,0.0
