date,open,high,low,close,volume,p_change,forecast
2015-01-09,2.417,2.421,2.41,2.421,28192,-0.0037037037037038756,1.0
2015-01-12,2.45,2.45,2.421,2.428,9000,0.0028913672036348093,1.0
2015-01-13,2.437,2.475,2.437,2.474,6468,0.018945634266886335,0.0
2015-01-14,2.439,2.495,2.439,2.44,12476,-0.013742926434923253,0.0
2015-01-15,2.431,2.44,2.431,2.437,52276,-0.0012295081967214072,1.0
2015-01-16,2.529,2.529,2.476,2.5,13804,0.025851456709068632,1.0
2015-01-19,2.492,2.56,2.492,2.55,47529,0.020000000000000018,0.0
2015-01-20,2.57,2.57,2.498,2.548,272292,-0.0007843137254901489,1.0
2015-01-21,2.59,2.59,2.56,2.582,148712,0.013343799058084693,0.0
2015-01-22,2.58,2.58,2.54,2.553,55939,-0.011231603408210611,1.0
2015-01-23,2.562,2.572,2.542,2.555,98654,0.0007833920877400313,1.0
2015-01-26,2.555,2.576,2.555,2.558,62768,0.0011741682974557577,0.0
2015-01-27,2.553,2.553,2.506,2.51,62620,-0.018764659890539548,1.0
2015-01-28,2.522,2.558,2.522,2.558,404484,0.01912350597609569,0.0
2015-01-29,2.55,2.55,2.513,2.54,23900,-0.007036747458952219,0.0
2015-01-30,2.513,2.522,2.485,2.509,4292,-0.012204724409448864,1.0
2015-02-02,2.529,2.529,2.526,2.529,1984,0.007971303308090816,1.0
2015-02-03,2.52,2.532,2.498,2.531,22252,0.0007908264136022858,0.0
2015-02-04,2.502,2.51,2.502,2.51,1800,-0.00829711576452008,1.0
2015-02-05,2.541,2.541,2.505,2.52,5500,0.003984063745019917,0.0
2015-02-06,2.502,2.504,2.502,2.504,992,-0.006349206349206327,0.0
2015-02-09,2.47,2.47,2.462,2.463,17692,-0.01637380191693283,1.0
2015-02-10,2.463,2.471,2.43,2.471,8492,0.0032480714575719993,0.0
2015-02-11,2.44,2.465,2.44,2.465,1222,-0.002428166734115833,0.0
2015-02-12,2.425,2.43,2.425,2.43,3062,-0.014198782961460377,1.0
2015-02-13,2.439,2.445,2.439,2.445,63100,0.006172839506172645,1.0
2015-02-16,2.425,2.47,2.425,2.467,6300,0.008997955010225045,1.0
2015-02-17,2.488,2.488,2.488,2.488,100,0.00851236319416282,0.0
2015-02-25,2.488,2.488,2.43,2.449,153584,-0.015675241157556363,0.0
2015-02-26,2.415,2.447,2.415,2.447,17092,-0.0008166598611677456,0.0
2015-02-27,2.417,2.5,2.417,2.42,47892,-0.011033919084593391,1.0
2015-03-02,2.479,2.59,2.453,2.482,53245,0.025619834710743916,0.0
2015-03-03,2.49,2.562,2.427,2.44,33692,-0.01692183722804197,1.0
2015-03-04,2.436,2.487,2.436,2.452,45000,0.004918032786885185,0.0
2015-03-05,2.452,2.452,2.418,2.428,25200,-0.009787928221859699,0.0
2015-03-06,2.404,2.453,2.403,2.422,63192,-0.0024711696869851307,0.0
2015-03-09,2.342,2.383,2.342,2.381,6000,-0.016928158546655858,1.0
2015-03-10,2.44,2.44,2.359,2.396,52391,0.006299874002519967,1.0
2015-03-11,2.477,2.477,2.354,2.399,57200,0.0012520868113523598,0.0
2015-03-12,2.399,2.399,2.33,2.346,116058,-0.02209253855773241,0.0
2015-03-13,2.359,2.359,2.335,2.343,77100,-0.0012787723785167016,1.0
2015-03-16,2.343,2.36,2.31,2.349,198674,0.00256081946222797,1.0
2015-03-17,2.338,2.364,2.331,2.354,86899,0.002128565346956046,0.0
2015-03-18,2.345,2.359,2.341,2.348,77073,-0.002548853016142827,1.0
2015-03-19,2.377,2.388,2.351,2.38,525282,0.013628620102214661,0.0
2015-03-20,2.38,2.384,2.33,2.353,507672,-0.011344537815125899,1.0
2015-03-23,2.363,2.37,2.352,2.368,147488,0.00637484062898408,1.0
2015-03-24,2.377,2.377,2.364,2.373,155966,0.0021114864864866245,1.0
2015-03-25,2.382,2.43,2.37,2.376,80200,0.0012642225031604948,1.0
2015-03-26,2.378,2.387,2.369,2.384,129588,0.0033670033670034627,1.0
2015-03-27,2.399,2.41,2.382,2.386,140153,0.000838926174496768,0.0
2015-03-30,2.386,2.386,2.361,2.369,174986,-0.007124895222129002,0.0
2015-03-31,2.35,2.36,2.315,2.345,211170,-0.010130856901646279,0.0
2015-04-01,2.348,2.358,2.34,2.34,18600,-0.002132196162047073,1.0
2015-04-02,2.388,2.388,2.362,2.367,289850,0.011538461538461497,1.0
2015-04-03,2.367,2.383,2.367,2.38,66661,0.005492184199408445,1.0
2015-04-07,2.382,2.41,2.382,2.401,254683,0.008823529411764675,1.0
2015-04-08,2.401,2.408,2.401,2.402,121662,0.00041649312786362636,0.0
2015-04-09,2.381,2.4,2.38,2.395,51535,-0.00291423813488767,0.0
2015-04-10,2.381,2.409,2.381,2.391,18000,-0.001670146137787043,0.0
2015-04-13,2.367,2.409,2.367,2.386,75060,-0.002091175240485077,0.0
2015-04-14,2.398,2.398,2.379,2.38,58860,-0.0025146689019279744,0.0
2015-04-15,2.341,2.378,2.336,2.352,63482,-0.0117647058823529,1.0
2015-04-16,2.39,2.391,2.361,2.37,178044,0.007653061224489832,1.0
2015-04-17,2.365,2.393,2.365,2.389,100092,0.00801687763713077,1.0
2015-04-20,2.389,2.409,2.37,2.399,197848,0.004185851820845743,0.0
2015-04-21,2.372,2.398,2.372,2.384,72715,-0.0062526052521885145,1.0
2015-04-22,2.386,2.39,2.378,2.384,67215,0.0,0.0
2015-04-23,2.384,2.384,2.361,2.368,99726,-0.006711409395973145,1.0
2015-04-24,2.388,2.388,2.371,2.388,70100,0.008445945945946054,0.0
2015-04-27,2.371,2.371,2.361,2.369,117100,-0.007956448911222602,1.0
2015-04-28,2.37,2.408,2.37,2.386,56834,0.007176023638665985,1.0
2015-04-29,2.399,2.413,2.38,2.41,200118,0.010058675607711676,0.0
2015-04-30,2.41,2.41,2.382,2.408,133000,-0.0008298755186723072,0.0
2015-05-04,2.371,2.389,2.37,2.388,71384,-0.00830564784053156,0.0
2015-05-05,2.389,2.389,2.37,2.377,90336,-0.004606365159129044,0.0
2015-05-06,2.38,2.409,2.368,2.368,43000,-0.003786285233487563,0.0
2015-05-07,2.365,2.396,2.339,2.357,53144,-0.004645270270270174,0.0
2015-05-08,2.333,2.397,2.333,2.356,68544,-0.00042426813746299086,1.0
2015-05-11,2.361,2.367,2.356,2.365,44044,0.0038200339558576157,0.0
2015-05-12,2.352,2.366,2.352,2.363,60684,-0.0008456659619451301,1.0
2015-05-13,2.37,2.387,2.36,2.368,142340,0.0021159542953872457,1.0
2015-05-14,2.385,2.405,2.385,2.391,147866,0.00971283783783794,1.0
2015-05-15,2.392,2.405,2.368,2.395,111400,0.0016729401923880616,1.0
2015-05-18,2.397,2.475,2.396,2.45,368818,0.022964509394572064,0.0
2015-05-19,2.44,2.458,2.422,2.443,198418,-0.0028571428571428914,0.0
2015-05-20,2.426,2.426,2.252,2.38,237700,-0.025787965616045905,1.0
2015-05-21,2.38,2.391,2.38,2.382,34500,0.0008403361344537785,1.0
2015-05-22,2.397,2.397,2.38,2.387,86372,0.002099076406381073,1.0
2015-05-25,2.387,2.396,2.381,2.393,51900,0.0025136154168410307,1.0
2015-05-26,2.5,2.5,2.405,2.407,954500,0.005850396991224471,0.0
2015-05-27,2.405,2.405,2.3,2.375,223284,-0.013294557540506902,1.0
2015-05-28,2.376,2.396,2.37,2.378,194792,0.001263157894736855,0.0
2015-05-29,2.378,2.388,2.35,2.36,82284,-0.007569386038688064,1.0
2015-06-01,2.355,2.366,2.344,2.362,334992,0.0008474576271186862,0.0
2015-06-02,2.352,2.362,2.35,2.354,74276,-0.003386960203217604,1.0
2015-06-03,2.355,2.368,2.354,2.355,85900,0.00042480883602369346,0.0
2015-06-04,2.34,2.358,2.34,2.352,39700,-0.001273885350318471,1.0
2015-06-05,2.352,2.358,2.344,2.352,41992,0.0,1.0
2015-06-08,2.348,2.393,2.348,2.352,32362,0.0,1.0
2015-06-09,2.355,2.367,2.347,2.356,149900,0.001700680272108901,0.0
2015-06-10,2.359,2.359,2.343,2.353,43592,-0.0012733446519522795,1.0
2015-06-11,2.355,2.358,2.35,2.358,32300,0.0021249468763280266,0.0
2015-06-12,2.338,2.357,2.337,2.349,122700,-0.003816793893129722,1.0
2015-06-15,2.349,2.388,2.345,2.351,55368,0.0008514261387824185,1.0
2015-06-16,2.359,2.375,2.351,2.366,56800,0.0063802637175669474,0.0
2015-06-17,2.37,2.373,2.352,2.358,59168,-0.0033812341504648735,0.0
2015-06-18,2.352,2.363,2.338,2.349,92568,-0.003816793893129722,1.0
2015-06-19,2.352,2.397,2.347,2.349,81884,0.0,1.0
2015-06-23,2.32,2.365,2.32,2.349,69592,0.0,0.0
2015-06-24,2.34,2.353,2.333,2.34,40000,-0.003831417624521216,1.0
2015-06-25,2.34,2.343,2.339,2.343,44592,0.0012820512820512775,0.0
2015-06-26,2.331,2.345,2.331,2.331,41000,-0.005121638924455829,0.0
2015-06-29,2.33,2.342,2.318,2.327,65468,-0.001716001716001725,0.0
2015-06-30,2.322,2.333,2.3,2.315,124560,-0.005156854318865478,1.0
